Banc de test optique V0.2

tension de test théorique : 12V
tension = 0.00 VDC;courant = 0.00 A;

Angle °;cd;X;Y;lux;temperature ambiante °C; temps après allumage en ms;
79.2;25.38;0.0000;0.0000;1.4390;1994.58;419529;
79.4;25.36;0.0000;0.0000;1.4374;1994.98;419945;
79.6;25.32;0.0000;0.0000;1.4355;1994.99;420361;
79.8;25.32;0.0000;0.0000;1.4355;1994.99;420777;
80.0;25.32;0.0000;0.0000;1.4356;1995.05;421193;
80.2;25.33;0.0000;0.0000;1.4362;1995.00;421609;
80.4;25.34;0.0000;0.0000;1.4366;1995.00;422025;
80.6;25.36;0.0000;0.0000;1.4377;1994.96;422441;
80.8;25.36;0.0000;0.0000;1.4378;1994.54;422857;
81.0;25.38;0.0000;0.0000;1.4386;1994.54;423273;
81.2;25.38;0.0000;0.0000;1.4388;1994.55;423689;
81.4;25.37;0.0000;0.0000;1.4380;1994.52;424105;
81.6;25.36;0.0000;0.0000;1.4377;1994.46;424521;
81.8;25.37;0.0000;0.0000;1.4382;1994.89;424937;
82.0;25.36;0.0000;0.0000;1.4377;1994.93;425353;
82.2;25.39;0.0000;0.0000;1.4393;1994.93;425769;
82.4;25.39;0.0000;0.0000;1.4396;1994.89;426185;
82.6;25.36;0.0000;0.0000;1.4374;1994.90;426601;
82.8;25.35;0.0000;0.0000;1.4370;1994.89;427017;
83.0;25.35;0.0000;0.0000;1.4370;1994.86;427433;
83.2;25.31;0.0000;0.0000;1.4351;1994.42;427849;
83.4;25.30;0.0000;0.0000;1.4341;1994.42;428265;
83.6;25.27;0.0000;0.0000;1.4328;1994.45;428681;
83.8;25.28;0.0000;0.0000;1.4333;1994.45;429097;
84.0;25.32;0.0000;0.0000;1.4354;1994.42;429513;
84.2;25.36;0.0000;0.0000;1.4374;1994.49;429929;
